Gerente;12345678910;123;1
Gerente;12345678911;124;2
Gerente;12345678912;125;3
Gerente;12345678913;126;4
Presidente;12345678914;127
Diretor;12345678915;128
Cliente;12345678916;129
Cliente;12345678917;130
Cliente;12345678918;131
Cliente;12345678919;132
Cliente;12345678920;133
Cliente;12345678921;134
Cliente;12345678922;135
Cliente;12345678923;136
Cliente;12345678924;137
Cliente;12345678925;138
Cliente;12345678926;139
Cliente;12345678927;140
Cliente;12345678928;141
Cliente;12345678929;142
Cliente;12345678930;143
Cliente;12345678931;144
Cliente;12345678932;145
Cliente;12345678933;146
Cliente;12345678934;147
Cliente;12345678935;148
Cliente;12345678936;149
Cliente;12345678937;150
Cliente;12345678938;151
Cliente;12345678939;152
Cliente;12345678940;153
Cliente;12345678941;154
Cliente;12345678942;155
Cliente;12345678943;156
Cliente;12345678944;157
Cliente;12345678945;158
Cliente;12345678946;159
Cliente;12345678947;160
Cliente;12345678948;161
Cliente;12345678949;162
Cliente;12345678950;163
